"#4C4F56","Abbey"
"#1B1404","Acadia"
"#7CB0A1","Acapulco"
"#C9FFE5","Aero Blue"
"#714693","Affair"
"#D4C4A8","Akaroa"
"#FAFAFA","Alabaster"
"#F5E9D3","Albescent White"
"#93DFB8","Algae Green"
"#F0F8FF","Alice Blue"
"#E32636","Alizarin Crimson"
"#0076A3","Allports"
"#907B71","Almond Frost"
"#EED9C4","Almond"
"#AF8F2C","Alpine"
"#DBDBDB","Alto"
"#A9ACB6","Aluminium"
"#E52B50","Amaranth"
"#3B7A57","Amazon"
"#FFBF00","Amber"
"#87756E","Americano"
"#9966CC","Amethyst"
"#A397B4","Amethyst Smoke"
"#F9EAF3","Amour"
"#7B9F80","Amulet"
"#9DE5FF","Anakiwa"
"#704A07","Antique Bronze"
"#C88A65","Antique Brass"
"#E0B646","Anzac"
"#DFBE6F","Apache"
"#AF4D43","Apple Blossom"
"#E2F3EC","Apple Green"
"#4FA83D","Apple"
"#EB9373","Apricot"
"#FBCEB1","Apricot Peach"
"#FFFEEC","Apricot White"
"#00FFFF","Aqua / Cyan"
"#014B43","Aqua Deep"
"#5FA777","Aqua Forest"
"#EDF5F5","Aqua Haze"
"#A1DAD7","Aqua Island"
"#E8F5F2","Aqua Squeeze"
"#EAF9F5","Aqua Spring"
"#71D9E2","Aquamarine Blue"
"#7FFFD4","Aquamarine"
"#110C6C","Arapawa"
"#433E37","Armadillo"
"#948771","Arrowtown"
"#C6C3B5","Ash"
"#7BA05B","Asparagus"
"#130A06","Asphalt"
"#FAEAB9","Astra"
"#327DA0","Astral"
"#013E62","Astronaut Blue"
"#283A77","Astronaut"
"#EEF0F3","Athens Gray"
"#ECEBCE","Aths Special"
"#97CD2D","Atlantis"
"#0A6F75","Atoll"
"#FF9966","Atomic Tangerine"
"#97605D","Au Chico"
"#3B0910","Aubergine"
"#F5FFBE","Australian Mint"
"#888D65","Avocado"
"#4E6649","Axolotl"
"#F7C8DA","Azalea"
"#0D1C19","Aztec"
"#007FFF","Azure Radiance"
"#315BA1","Azure"
"#E0FFFF","Baby Blue"
"#026395","Bahama Blue"
"#A5CB0C","Bahia"
"#FFF8D1","Baja White"
"#859FAF","Bali Hai"
"#2A2630","Baltic Sea"
"#DA6304","Bamboo"
"#FBE7B2","Banana Mania"
"#858470","Bandicoot"
"#DED717","Barberry"
"#A68B5B","Barley Corn"
"#FFF4CE","Barley White"
"#44012D","Barossa"
"#292130","Bastille"
"#828F72","Battleship Gray"
"#7DA98D","Bay Leaf"
"#273A81","Bay of Many"
"#98777B","Bazaar"
"#3D0C02","Bean  "
"#EEC1BE","Beauty Bush"
"#926F5B","Beaver"
"#FEF2C7","Beeswax"
"#F5F5DC","Beige"
"#6B8BA2","Bermuda Gray"
"#7DD8C6","Bermuda"
"#DEE5C0","Beryl Green"
"#FCFBF3","Bianca"
"#162A40","Big Stone"
"#327C14","Bilbao"
"#B2A1EA","Biloba Flower"
"#373021","Birch"
"#D4CD16","Bird Flower"
"#1B3162","Biscay"
"#497183","Bismark"
"#C1B7A4","Bison Hide"
"#3D2B1F","Bistre"
"#868974","Bitter"
"#CAE00D","Bitter Lemon"
"#FE6F5E","Bittersweet"
"#EEDEDA","Bizarre"
"#041322","Black Pearl"
"#081910","Black Bean"
"#0A001C","Black Russian"
"#0B1304","Black Forest"
"#0D0332","Black Rock"
"#242E16","Black Olive"
"#3E2C1C","Black Marlin"
"#67032D","Black Rose"
"#F2FAFA","Black Squeeze"
"#F6F7F7","Black Haze"
"#FFFEF6","Black White"
"#000000","Black"
"#4D0135","Blackberry"
"#32293A","Blackcurrant"
"#FF6600","Blaze Orange"
"#2C2133","Bleached Cedar"
"#FEF3D8","Bleach White"
"#A3E3ED","Blizzard Blue"
"#DCB4BC","Blossom"
"#496679","Blue Bayoux"
"#9999CC","Blue Bell"
"#010D1A","Blue Charcoal"
"#0C8990","Blue Chill"
"#F1E9FF","Blue Chalk"
"#204852","Blue Dianne"
"#380474","Blue Diamond"
"#2C0E8C","Blue Gem"
"#BFBED8","Blue Haze"
"#017987","Blue Lagoon"
"#7666C6","Blue Marguerite"
"#0066FF","Blue Ribbon"
"#D2F6DE","Blue Romance"
"#016162","Blue Stone"
"#748881","Blue Smoke"
"#6456B7","Blue Violet"
"#042E4C","Blue Whale"
"#13264D","Blue Zodiac"
"#0000FF","Blue"
"#18587A","Blumine"
"#FF6FFF","Blush Pink"
"#B44668","Blush"
"#AFB1B8","Bombay"
"#E5E0E1","Bon Jour"
"#0095B6","Bondi Blue"
"#E4D1C0","Bone"
"#5C0120","Bordeaux"
"#4E2A5A","Bossanova"
"#3B91B4","Boston Blue"
"#C7DDE5","Botticelli"
"#093624","Bottle Green"
"#7A7A7A","Boulder"
"#AE809E","Bouquet"
"#BA6F1E","Bourbon"
"#4A2A04","Bracken"
"#BB8983","Brandy Rose"
"#CD8429","Brandy Punch"
"#DEC196","Brandy"
"#5DA19F","Breaker Bay"
"#C62D42","Brick Red"
"#FFFAF4","Bridal Heath"
"#FEF0EC","Bridesmaid"
"#08E8DE","Bright Turquoise"
"#3C4151","Bright Gray"
"#66FF00","Bright Green"
"#B10000","Bright Red"
"#FED33C","Bright Sun"
"#FB607F","Brink Pink"
"#ABA196","Bronco"
"#3F2109","Bronze"
"#4D400F","Bronzetone"
"#4E420C","Bronze Olive"
"#FFEC13","Broom"
"#37290E","Brown Tumbleweed"
"#401801","Brown Pod"
"#492615","Brown Derby"
"#592804","Brown Bramble"
"#AF593E","Brown Rust"
"#964B00","Brown"
"#E7FEFF","Bubbles"
"#622F30","Buccaneer"
"#A8AE9C","Bud"
"#C1A004","Buddha Gold"
"#F0DC82","Buff"
"#480607","Bulgarian Rose"
"#864D1E","Bull Shot"
"#0D1117","Bunker"
"#151F4C","Bunting"
"#900020","Burgundy"
"#002E20","Burnham"
"#D99376","Burning Sand"
"#FF7034","Burning Orange"
"#420303","Burnt Maroon"
"#8A3324","Burnt Umber"
"#CC5500","Burnt Orange"
"#E97451","Burnt Sienna"
"#0D2E1C","Bush"
"#624E9A","Butterfly Bush"
"#A1750D","Buttered Rum"
"#F3AD16","Buttercup"
"#FFF1B5","Buttermilk"
"#FFFCEA","Buttery White"
"#4D0A18","Cab Sav"
"#D94972","Cabaret"
"#3F4C3A","Cabbage Pont"
"#587156","Cactus"
"#A9B2C3","Cadet Blue"
"#B04C6A","Cadillac"
"#6F440C","Cafe Royale"
"#E0C095","Calico"
"#FE9D04","California"
"#31728D","Calypso"
"#00581A","Camarone"
"#893456","Camelot"
"#D9B99B","Cameo"
"#3C3910","Camouflage"
"#78866B","Camouflage Green"
"#D591A4","Can Can"
"#F3FB62","Canary"
"#FCD917","Candlelight"
"#FBEC5D","Candy Corn"
"#251706","Cannon Black"
"#894367","Cannon Pink"
"#3C4443","Cape Cod"
"#FEE5AC","Cape Honey"
"#A26645","Cape Palliser"
"#DCEDB4","Caper"
"#FFDDAF","Caramel"
"#EEEEE8","Cararra"
"#01361C","Cardin Green"
"#8C055E","Cardinal Pink"
"#C41E3A","Cardinal"
"#D29EAA","Careys Pink"
"#00CC99","Caribbean Green"
"#EA88A8","Carissma"
"#F3FFD8","Carla"
"#960018","Carmine"
"#5C2E01","Carnaby Tan"
"#F95A61","Carnation"
"#FFA6C9","Carnation Pink"
"#F9E0ED","Carousel Pink"
"#ED9121","Carrot Orange"
"#F8B853","Casablanca"
"#2F6168","Casal"
"#8BA9A5","Cascade"
"#E6BEA5","Cashmere"
"#ADBED1","Casper"
