"#4C4F56","Abbey"
"#1B1404","Acadia"
"#7CB0A1","Acapulco"
"#6A5D1B","Acorn"
"#C9FFE5","Aero Blue"
"#714693","Affair"
"#86560A","Afghan Tan"
"#D4C4A8","Akaroa"
"#FFFFFF","Alabaster"
"#F5E9D3","Albescent White"
"#9B4703","Alert Tan"
"#0076A3","Allports"
"#907B71","Almond Frost"
"#AF8F2C","Alpine"
"#DBDBDB","Alto"
"#A9ACB6","Aluminium"
"#3B7A57","Amazon"
"#87756E","Americano"
"#A397B4","Amethyst Smoke"
"#F9EAF3","Amour"
"#7B9F80","Amulet"
"#9DE5FF","Anakiwa"
"#704A07","Antique Brass"
"#E0B646","Anzac"
"#DFBE6F","Apache"
"#4FA83D","Apple"
"#AF4D43","Apple Blossom"
"#E2F3EC","Apple Green"
"#EB9373","Apricot"
"#FFFEEC","Apricot White"
"#A1DAD7","Aqua"
"#EDF5F5","Aqua Haze"
"#EAF9F5","Aqua Spring"
"#E8F5F2","Aqua Squeeze"
"#014B43","Aquamarine"
"#110C6C","Arapawa"
"#433E37","Armadillo"
"#948771","Arrowtown"
"#C6C3B5","Ash"
"#2E1905","Ash Brown"
"#130A06","Asphalt"
"#FAEAB9","Astra"
"#327DA0","Astral"
"#283A77","Astronaut"
"#013E62","Astronaut Blue"
"#EEF0F3","Athens Gray"
"#ECEBCE","Aths Special"
"#97CD2D","Atlantis"
"#0A6F75","Atoll"
"#314459","Atomic"
"#97605D","Au Chico"
"#3B0910","Aubergine"
"#F5FFBE","Australian Mint"
"#888D65","Avocado"
"#4E6649","Axolotl"
"#F7C8DA","Azalea"
"#0D1C19","Aztec"
"#315BA1","Azure"
"#026395","Bahama Blue"
"#A5CB0C","Bahia"
"#FFF8D1","Baja White"
"#859FAF","Bali Hai"
"#2A2630","Baltic Sea"
"#DA6304","Bamboo"
"#858470","Bandicoot"
"#130A06","Banjul"
"#DED717","Barberry"
"#A68B5B","Barley Corn"
"#FFF4CE","Barley White"
"#44012D","Barossa"
"#292130","Bastille"
"#828F72","Battleship Gray"
"#7DA98D","Bay Leaf"
"#273A81","Bay Of Many"
"#98777B","Bazaar"
"#3D0C02","Bean"
"#EEC1BE","Beauty Bush"
"#FEF2C7","Beeswax"
"#7DD8C6","Bermuda"
"#6B8BA2","Bermuda Gray"
"#DEE5C0","Beryl Green"
"#FCFBF3","Bianca"
"#162A40","Big Stone"
"#327C14","Bilbao"
"#B2A1EA","Biloba Flower"
"#373021","Birch"
"#D4CD16","Bird Flower"
"#1B3162","Biscay"
"#497183","Bismark"
"#C1B7A4","Bison Hide"
"#868974","Bitter"
"#CAE00D","Bitter Lemon"
"#EEDEDA","Bizarre"
"#081910","Black Bean"
"#0B1304","Black Forest"
"#F6F7F7","Black Haze"
"#251706","Black Magic"
"#3E2C1C","Black Marlin"
"#041322","Black Pearl"
"#0E0E18","Black Pepper"
"#0D0332","Black Rock"
"#67032D","Black Rose"
"#0A001C","Black Russian"
"#F2FAFA","Black Squeeze"
"#FFFEF6","Black White"
"#4D0135","Blackberry"
"#32293A","Blackcurrant"
"#261105","Blackwood"
"#F5E9D3","Blanc"
"#FEF3D8","Bleach White"
"#2C2133","Bleached Cedar"
"#DCB4BC","Blossom"
"#041322","Blue Bark"
"#496679","Blue Bayoux"
"#220878","Blue Bell"
"#F1E9FF","Blue Chalk"
"#010D1A","Blue Charcoal"
"#0C8990","Blue Chill"
"#380474","Blue Diamond"
"#204852","Blue Dianne"
"#2C0E8C","Blue Gem"
"#BFBED8","Blue Haze"
"#017987","Blue Lagoon"
"#7666C6","Blue Marguerite"
"#D2F6DE","Blue Romance"
"#748881","Blue Smoke"
"#016162","Blue Stone"
"#042E4C","Blue Whale"
"#13264D","Blue Zodiac"
"#18587A","Blumine"
"#B44668","Blush"
"#E47698","Blush, Deep"
"#1C1208","Bokara Gray"
"#AFB1B8","Bombay"
"#E5E0E1","Bon Jour"
"#02478E","Bondi Blue"
"#E4D1C0","Bone"
"#5C0120","Bordeaux"
"#4E2A5A","Bossanova"
"#3B91B4","Boston Blue"
"#C7DDE5","Botticelli"
"#093624","Bottle Green"
"#7A7A7A","Boulder"
"#AE809E","Bouquet"
"#BA6F1E","Bourbon"
"#4A2A04","Bracken"
"#DEC196","Brandy"
"#CD8429","Brandy Punch"
"#BB8983","Brandy Rose"
"#886221","Brazil"
"#5DA19F","Breaker Bay"
"#FFFAF4","Bridal Heath"
"#FEF0EC","Bridesmaid"
"#3C4151","Bright Gray"
"#B10000","Bright Red"
"#FED33C","Bright Sun"
"#ABA196","Bronco"
"#3F2109","Bronze"
"#4E420C","Bronze Olive"
"#4A3004","Bronze, Deep"
"#4D400F","Bronzetone"
"#FFEC13","Broom"
"#592804","Brown Bramble"
"#492615","Brown Derby"
"#401801","Brown Pod"
"#E7FEFF","Bubbles"
"#622F30","Buccaneer"
"#A8AE9C","Bud"
"#C1A004","Buddha Gold"
"#480607","Bulgarian Rose"
"#864D1E","Bull Shot"
"#0D1117","Bunker"
"#151F4C","Bunting"
"#770F05","Burgundy"
"#002E20","Burnham"
"#D99376","Burning Sand"
"#65000B","Burnt Crimson"
"#0D2E1C","Bush"
"#F3AD16","Buttercup"
"#A1750D","Buttered Rum"
"#624E9A","Butterfly Bush"
"#FFF1B5","Buttermilk"
"#FFFCEA","Buttery White"
"#4D0A18","Cab Sav"
"#D94972","Cabaret"
"#3F4C3A","Cabbage Pont"
"#587156","Cactus"
"#B04C6A","Cadillac"
"#6F440C","Cafe Royale"
"#E0C095","Calico"
"#FE9D04","California"
"#31728D","Calypso"
"#00581A","Camarone"
"#893456","Camelot"
"#D9B99B","Cameo"
"#3C3910","Camouflage"
"#D591A4","Can Can"
"#F3FB62","Canary"
"#FCD917","Candlelight"
"#251706","Cannon Black"
"#894367","Cannon Pink"
"#A8A589","Canvas"
"#3C4443","Cape Cod"
"#FEE5AC","Cape Honey"
"#A26645","Cape Palliser"
"#DCEDB4","Caper"
"#062A78","Capri"
"#FFDDAF","Caramel"
"#EEEEE8","Cararra"
"#01361C","Cardin Green"
"#8C055E","Cardinal"
"#D29EAA","Careys Pink"
"#EA88A8","Carissma"
"#F3FFD8","Carla"
"#5C2E01","Carnaby Tan"
"#F9E0ED","Carousel Pink"
"#F8B853","Casablanca"
"#2F6168","Casal"
"#8BA9A5","Cascade"
"#E6BEA5","Cashmere"
"#ADBED1","Casper"
"#52001F","Castro"
"#062A78","Catalina Blue"
"#EEF6F7","Catskill White"
"#E3BEBE","Cavern Pink"
"#9771B5","Ce Soir"
"#3E1C14","Cedar"
"#711A00","Cedar Wood Finish"
"#B8C25D","Celery"
"#D1D2CA","Celeste"
"#1E385B","Cello"
"#163222","Celtic"
"#8D7662","Cement"
"#FCFFF9","Ceramic"
"#FFF4F3","Chablis"
"#516E3D","Chalet Green"
"#EED794","Chalky"
"#354E8C","Chambray"
"#EDDCB1","Chamois"
"#FAECCC","Champagne"
"#F8C3DF","Chantilly"
"#292937","Charade"
"#FFF3F1","Chardon"
"#FFCD8C","Chardonnay"
"#BAEEF9","Charlotte"
"#D47494","Charm"
"#40A860","Chateau Green"
"#BDB3C7","Chatelle"
"#175579","Chathams Blue"
"#83AA5D","Chelsea Cucumber"
"#9E5302","Chelsea Gem"
"#DFCD6F","Chenin"
"#FCDA98","Cherokee"
"#2A0359","Cherry Pie"
"#651A14","Cherrywood"
"#F8D9E9","Cherub"
"#8581D9","Chetwode Blue"
"#5D5C58","Chicago"
"#F1FFC8","Chiffon"
